"Conference Code","Name","Subdivision"
823,"American Athletic Conference","FBS"
821,"Atlantic Coast Conference","FBS"
25354,"Big 12 Conference","FBS"
827,"Big Ten Conference","FBS"
24312,"Conference USA","FBS"
99001,"Independent","FBS"
875,"Mid-American Conference","FBS"
5486,"Mountain West Conference","FBS"
905,"Pac-12 Conference","FBS"
911,"Southeastern Conference","FBS"
818,"Sun Belt Conference","FBS"
825,"Big Sky","FCS"
826,"Big South","FCS"
837,"Colonial","FCS"
99005,"Ind","FCS"
865,"Ivy","FCS"
876,"Mid-Eastern","FCS"
853,"MVFC","FCS"
846,"Northeast","FCS"
902,"OVC","FCS"
838,"Patriot","FCS"
21451,"Pioneer","FCS"
912,"Southern","FCS"
914,"Southland","FCS"
916,"Southwestern","FCS"
